mes_ano,ABRANGENCI,notificacoes
202304,ENGENHEIRO SCHMITT,65
202304,ESTORIL,190
202304,FRATERNIDADE,25
202304,GABRIELA,97
202304,GONZAGA DE CAMPOS,76
202304,JAGUARE,140
202304,JARDIM AMERICANO,70
202304,LEALDADE E AMIZADE,93
202304,LUZ DA ESPERANCA,106
202304,MARIA LUCIA,210
202304,NOVA ESPERANCA,85
202304,PARQUE DA CIDADANIA,94
202304,PARQUE INDUSTRIAL,152
202304,RENASCER,71
202304,RIO PRETO I,87
202304,SANTO ANTONIO,159
202304,SAO DEOCLECIANO,158
202304,SAO FRANCISCO,233
202304,SOLO SAGRADO,223
202304,TALHADO,42
202304,VETORAZZO,177
202304,VILA ELVIRA,66
202304,VILA MAYOR,98
202304,VILA TONINHO,150
202305,ANCHIETA,75
202305,CAIC,66
202305,CENTRAL,107
202305,CIDADE JARDIM,92
202305,ELDORADO,72
202305,ENGENHEIRO SCHMITT,46
202305,ESTORIL,140
202305,FRATERNIDADE,24
202305,GABRIELA,58
202305,GONZAGA DE CAMPOS,55
202305,JAGUARE,124
202305,JARDIM AMERICANO,61
202305,LEALDADE E AMIZADE,62
202305,LUZ DA ESPERANCA,81
202305,MARIA LUCIA,159
202305,NOVA ESPERANCA,65
202305,PARQUE DA CIDADANIA,71
202305,PARQUE INDUSTRIAL,117
202305,RENASCER,55
202305,RIO PRETO I,61
202305,SANTO ANTONIO,133
202305,SAO DEOCLECIANO,130
202305,SAO FRANCISCO,137
202305,SOLO SAGRADO,159
202305,TALHADO,35
202305,VETORAZZO,134
202305,VILA ELVIRA,55
202305,VILA MAYOR,66
202305,VILA TONINHO,106
202306,ANCHIETA,35
202306,CAIC,36
202306,CENTRAL,40
202306,CIDADE JARDIM,34
202306,ELDORADO,24
202306,ENGENHEIRO SCHMITT,18
202306,ESTORIL,67
202306,FRATERNIDADE,9
202306,GABRIELA,25
202306,GONZAGA DE CAMPOS,25
202306,JAGUARE,46
202306,JARDIM AMERICANO,21
202306,LEALDADE E AMIZADE,25
202306,LUZ DA ESPERANCA,25
202306,MARIA LUCIA,53
202306,NOVA ESPERANCA,14
202306,PARQUE DA CIDADANIA,17
202306,PARQUE INDUSTRIAL,48
202306,RENASCER,12
202306,RIO PRETO I,19
202306,SANTO ANTONIO,46
202306,SAO DEOCLECIANO,59
